reading_id,station_id,station_code,city,region,year,month,season,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,avg_humidity_pct,avg_wind_mph,avg_visibility_mi,avg_aqi,dominant_weather
1,1,KSEA,Seattle,Northwest,2023,1,Winter,33.6,42.2,25.7,3.98,69,7.7,9.1,53,Snow
2,2,KPDX,Portland,Northwest,2023,1,Winter,27.9,38.3,16.6,2.08,72,4.7,10.0,23,Rain
3,3,KBOI,Boise,Northwest,2023,1,Winter,30.5,38.0,16.5,0.9,60,5.9,8.6,36,Cloudy
4,4,KGEG,Spokane,Northwest,2023,1,Winter,21.5,29.0,14.9,0.69,73,10.3,10.0,51,Cloudy
5,5,KPHX,Phoenix,Southwest,2023,1,Winter,56.1,70.0,44.2,0.93,22,4.2,9.7,63,Rain
6,6,KLAS,Las Vegas,Southwest,2023,1,Winter,47.3,58.3,33.9,1.31,27,11.5,8.3,89,Rain
7,7,KLAX,Los Angeles,Southwest,2023,1,Winter,38.6,48.4,26.7,1.4,72,3.6,10.0,74,Cloudy
8,8,KABQ,Albuquerque,Southwest,2023,1,Winter,37.6,49.6,25.5,0.56,36,12.9,10.0,79,Cloudy
9,9,KORD,Chicago,Midwest,2023,1,Winter,26.7,38.2,19.9,2.16,59,9.6,8.9,58,Rain
10,10,KMSP,Minneapolis,Midwest,2023,1,Winter,27.1,39.1,16.5,1.01,69,9.6,10.0,30,Rain
11,11,KMCI,Kansas City,Midwest,2023,1,Winter,28.9,40.2,19.2,3.55,72,8.3,9.1,47,Snow
12,12,KCMH,Columbus,Midwest,2023,1,Winter,26.1,38.3,19.4,1.98,60,6.9,10.0,59,Rain
13,13,KATL,Atlanta,Southeast,2023,1,Winter,44.2,57.9,33.6,3.96,80,8.2,7.0,29,Rain
14,14,KMIA,Miami,Southeast,2023,1,Winter,54.7,64.0,44.4,4.44,79,6.6,7.4,20,Rain
15,15,KBNA,Nashville,Southeast,2023,1,Winter,30.2,37.3,23.5,4.51,80,6.0,6.1,52,Snow
16,16,KCLT,Charlotte,Southeast,2023,1,Winter,34.0,47.6,24.9,3.34,78,9.5,9.1,46,Snow
17,17,KJFK,New York,Northeast,2023,1,Winter,27.3,39.9,17.9,2.49,57,13.9,8.2,45,Rain
18,18,KBOS,Boston,Northeast,2023,1,Winter,31.3,45.1,19.3,4.33,72,16.9,8.3,62,Snow
19,19,KPHL,Philadelphia,Northeast,2023,1,Winter,30.7,41.0,16.9,2.41,70,11.8,9.3,40,Rain
20,20,KPIT,Pittsburgh,Northeast,2023,1,Winter,24.3,31.1,17.2,3.59,81,5.9,9.2,68,Snow
