Product_ID,Rakhi_Type,Rakhi_Material,Year,Days_Before_Festival,Weekend_Sale,Day_Of_Week,Delhi_Zone,Store_Type,Average_Temperature_C,Payment_Method,Sales_Count,Shop_Name,Price,No_Of_Customers_Visit
2216,Premium & Jewelry,Sterling Silver,2026,3,nO,Tuesday,West,Supermarket,27.0,UPI,6,Aggarwal Rakhi Hub 284,3236.16,19
2583,Premium & Jewelry,Sterling Silver,2026,5,nO,Monday,East,Local Street Vendor,35.0,UPI,5,Jain Festive Mart,353.16,28
1663,Eco-Friendly,Sandalwood (Chandan),2026,6,yES,Sunday,West,Online,32.4,UPI,4,Goel Rakhi Bazaar,59.61,12
3028,Eco-Friendly,Sandalwood (Chandan),2026,4,Yes,Sunday,East,Local Street Vendor,27.1,UPI,5,Mehra Rakhi Hub 246,70.75,12
4344,Premium & Jewelry,Sandalwood (Chandan),2026,2,No,Tuesday,West,Supermarket,,Credit Card,3,Jain Rakhi Hub 119,241.04,10
2681,Eco-Friendly,Silk Thread,2026,7,No,Wednesday,West,Supermarket,37.7,Cash,4,Saxena Gift House,42.27,12
1766,Premium & Jewelry,Sterling Silver,2026,3,No,Monday,Central,Local Street Vendor,29.2,Cash,3,Kapoor Emporium,522.9,14
1124,Premium & Jewelry,Sandalwood (Chandan),2026,3,Yes,Saturday,West,Local Street Vendor,32.9,Cash,10,Chawla Rakhi Store,159.29,37
4055,Eco-Friendly,Sandalwood (Chandan),2026,7,Yes,Sunday,West,Supermarket,46.3,Cash,2,Khanna Rakhi Hub 194,72.5,8
3762,Kids & Cartoon,Silk Thread,2026,5,#Yes,Sunday,West,Online,29.3,Cash,10,Arora Rakhi Hub 137,18.86,25
1536,Kids & Cartoon,Sandalwood (Chandan),2026,3,Yes,Sunday,West,Local Street Vendor,31.8,Cash,9,Gupta Rakhi Hub 297,25.97,35
2945,Premium & Jewelry,Silk Thread,2026,5,No,Friday,East,Local Street Vendor,36.5,Credit Card,2,Goel Rakhi & Gifts,87.3,14
2988,Kids & Cartoon,Sandalwood (Chandan),2026,3,Yes,Saturday,West,Local Street Vendor,31.7,Cash,6,Chawla Rakhi Hub 269,18.5,13
4292,Premium & Jewelry,Silk Thread,2026,6,nO,Friday,North,Local Street Vendor,33.0,Credit Card,1,Gupta Rakhi Point,82.49,4
4343,Kids & Cartoon,Sterling Silver,2026,2,No,Monday,Central,Local Street Vendor,30.6,Credit Card,4,Tandon Gift House,81.87,19
4425,Kids & Cartoon,Silk Thread,2026,7,No,Thursday,Central,Online,26.8,Credit Card,2,Sharma Rakhi Point,22.24,7
2055,Kids & Cartoon,Sandalwood (Chandan),2026,1,nO,Wednesday,West,Local Street Vendor,28.8,Cash,5,Chopra Rakhi Hub 241,18.64,23
4998,Kids & Cartoon,Silk Thread,2026,4,nO,Tuesday,East,Online,32.7,Cash,5,Chawla Rakhi Hub 230,19.72,18
2749,Kids & Cartoon,Silk Thread,2026,3,nO,Monday,Central,Supermarket,26.8,Cash,4,Tandon Rakhi Hub 292,17.43,20
2303,Kids & Cartoon,Silk Thread,2026,3,No,Monday,Central,Supermarket,38.2,UPI,7,Gupta Rakhi Point,15.39,38
3933,Kids & Cartoon,Silk Thread,2026,6,No,Tuesday,West,Local Street Vendor,41.6,Credit Card,2,Tandon Rakhi Hub 163,10.44,15
5957,Kids & Cartoon,Silk Thread,2026,2,yES,Sunday,West,Online,33.6,Cash,9,Gupta Rakhi Hub 282,23.18,34
1029,Eco-Friendly,Sandalwood (Chandan),2026,4,No,Friday,West,Supermarket,28.2,UPI,16,Khanna Rakhi Hub 215,75.23,58
2109,Kids & Cartoon,Silk Thread,2026,5,No,Tuesday,North,Local Street Vendor,30.8,Cash,2,Malhotra Emporium,12.83,11
795,Premium & Jewelry,Sterling Silver,2026,4,No,Monday,Central,Online,35.3,Credit Card,9,Sethi Rakhi Hub 33,617.11,45
3164,Eco-Friendly,Sandalwood (Chandan),2026,2,No,Wednesday,West,Local Street Vendor,35.3,UPI,4,Saxena Rakhi Store,56.58,21
2431,Eco-Friendly,Sterling Silver,2026,2,yES,Saturday,West,Local Street Vendor,33.9,Credit Card,3,Saxena Rakhi Hub 23,207.77,14
3182,Premium & Jewelry,Sterling Silver,2026,1,Yes,Sunday,East,Supermarket,30.9,Cash,5,Chawla Gift House,549.12,19
764,Premium & Jewelry,Sterling Silver,2026,3,nO,Monday,Central,Online,29.7,Credit Card,8,Khanna Rakhi Point,807.56,48
3079,Kids & Cartoon,Silk Thread,2026,7,Yes,Saturday,East,Local Street Vendor,35.1,Cash,2,Arora Rakhi Hub 219,15.12,7
812,Premium & Jewelry,Sterling Silver,2026,6,No,Monday,North,Supermarket,35.3,Credit Card,3,Bhatia Rakhi Hub 290,626.44,20
1793,Premium & Jewelry,Sterling Silver,2026,4,No,Thursday,Central,Local Street Vendor,38.1,UPI,18,Tandon Rakhi Hub 20,422.06,104
919,Kids & Cartoon,Silk Thread,2026,5,Yes,Sunday,North,Online,28.2,Cash,12,Bhatia Rakhi Hub 211,27.9,41
1619,Eco-Friendly,Sandalwood (Chandan),2026,6,nO,Friday,Central,Online,35.5,Cash,3,Gupta Rakhi Corner,91.15,12
3375,Kids & Cartoon,Silk Thread,2026,6,yES,Sunday,North,Local Street Vendor,31.7,Credit Card,3,Bansal Rakhi Hub 91,10.17,10
1043,Kids & Cartoon,Silk Thread,2026,7,Yes,Sunday,West,Local Street Vendor,33.0,Credit Card,5,Chopra Rakhi Hub 12,13.17,14
5319,Kids & Cartoon,Silk Thread,2026,6,nO,Monday,North,Local Street Vendor,34.6,Credit Card,3,Aggarwal Gift House,13.14,8
4795,Kids & Cartoon,Silk Thread,2026,5,No,Wednesday,North,Supermarket,37.1,Credit Card,5,Chawla Rakhi Hub 93,16.48,23
